registro;retorno;rentabilidade;empresa;tag;tipo;retabilidade_ano;prazo;distribuidor;emissor;meses;
1;5.619;12.38;ABC Prefixado 12.38% por ABC Personal;FGC;LCA;12.38% a.a.;18/10/2023;ABC Personal;ABC;12;5619
2;5.576;11.53;ABC IPCA + 5.51% por ABC Personal;FGC;LCA;11.53% a.a.;18/10/2023;ABC Personal;ABC;12;5576
3;5.567;13.99;ABC Prefixado 13.99% por ABC Personal;FGC;CDB;11.53% a.a.;12/10/2023;ABC Personal;ABC;12;5567
4;5.566;95.05;ABC 95.05% CDI por ABC Personal;FGC;LCA;11.32% a.a.;18/10/2023;ABC Personal;ABC;12;5566
5;5.540;13.10;ABC IPCA + 7% por ABC Personal;FGC;CDB;10.81% a.a.;18/10/2023;ABC Personal;ABC;12;5540
6;5.539;91.00;ABC 91% CDI por Guide Investimentos;FGC;LCA;10.84% a.a.;17/10/2023;Guide Investimentos;ABC;12;5539
7;5.533;91.00;ABC 91% CDI por ABC Personal;FGC;LCA;10.84% a.a.;12/10/2023;ABC Personal;ABC;12;5533
8;5.514;106.50;ABC 106.5% CDI por ABC Personal;FGC;CDB;10.46% a.a.;12/10/2023;ABC Personal;ABC;12;5514
9;5.499;102.00;ABC 102% CDI por Guide Investimentos;FGC;CDB;10.02% a.a.;17/10/2023;Guide Investimentos;ABC;12;5499
10;5.487;100.00;ABC 100% CDI por ABC Personal;FGC;CDB;9.82% a.a.;16/10/2023;ABC Personal;ABC;12;5487
11;6201;1159;ABC Prefixado 11.59% por ABC Personal;FGC;LCA;11.59% a.a.;05/10/2024;ABC Personal;ABC;24;6201
12;6199;1135;ABC IPCA + 5.34% por ABC Personal;FGC;LCA;11.35% a.a.;17/10/2024;ABC Personal;ABC;24;6199
13;6141;9800;ABC 98% CDI por ABC Personal;FGC;LCA;11.03% a.a.;05/10/2024;ABC Personal;ABC;24;6141
14;6125;1271;ABC Prefixado 12.71% por ABC Personal;FGC;CDB;10.89% a.a.;06/10/2024;ABC Personal;ABC;24;6125
15;6116;9400;ABC 94% CDI por Guide Investimentos;FGC;LCA;10.58% a.a.;19/10/2024;Guide Investimentos;ABC;24;6116
16;6064;10700;ABC 107% CDI por ABC Personal;FGC;CDB;10.32% a.a.;06/10/2024;ABC Personal;ABC;24;6064
17;6037;10250;ABC 102.5% CDI por Guide Investimentos;FGC;CDB;9.88% a.a.;17/10/2024;Guide Investimentos;ABC;24;6037
18;6008;10000;ABC 100% CDI por ABC Personal;FGC;CDB;9.64% a.a.;16/10/2024;ABC Personal;ABC;24;6008
19;5.291;11.82;ABC Prefixado 11.82% por Guide Investimentos;FGC;LCA;11.82% a.a.;21/04/2023;Guide Investimentos;ABC;6;5291
20;5.275;14.38;ABC Prefixado 14.38% por ABC Personal;FGC;CDB;11.42% a.a.;17/04/2023;ABC Personal;ABC;6;5275
21;5.273;93.02;ABC 93.02% CDI por ABC Personal;FGC;LCA;11.34% a.a.;17/04/2023;ABC Personal;ABC;6;5273
22;5.268;89.00;ABC 89% CDI por Guide Investimentos;FGC;LCA;10.85% a.a.;21/04/2023;Guide Investimentos;ABC;6;5268
23;5.267;91.00;ABC 91% CDI por ABC Personal;FGC;LCA;11.09% a.a.;17/04/2023;ABC Personal;ABC;6;5267
24;5.267;91.00;ABC 91% CDI por ABC Personal;FGC;LCA;11.09% a.a.;17/04/2023;ABC Personal;ABC;6;5267
25;5.265;13.50;ABC Prefixado 13.5% por Guide Investimentos;FGC;CDB;10.73% a.a.;20/04/2023;Guide Investimentos;ABC;6;5265
26;5.247;105.51;ABC 105.51% CDI por ABC Personal;FGC;CDB;10.23% a.a.;17/04/2023;ABC Personal;ABC;6;5247
27;5.239;101.00;ABC 101% CDI por Guide Investimentos;FGC;CDB;9.79% a.a.;18/04/2023;Guide Investimentos;ABC;6;5239
28;5.234;100.00;ABC 100% CDI por ABC Personal;FGC;CDB;9.69% a.a.;17/04/2023;ABC Personal;ABC;6;5234
29;5.570;13.95;Agibank Prefixado 13.95% por Nova Futura Investimentos;FGC;CDB;11.50% a.a.;16/10/2023;Nova Futura Investimentos;Agibank;12;5570
30;5.562;13.75;Agibank Prefixado 13.75% por modalmais;FGC;CDB;11.34% a.a.;16/10/2023;modalmais;Agibank;12;5562
31;6181;1310;Agibank Prefixado 13.1% por Nova Futura Investimentos;FGC;CDB;11.23% a.a.;15/10/2024;Nova Futura Investimentos;Agibank;24;6181
32;6162;1290;Agibank Prefixado 12.9% por modalmais;FGC;CDB;11.05% a.a.;15/10/2024;modalmais;Agibank;24;6162
33;6129;11150;Agibank 111.5% CDI por modalmais;FGC;CDB;10.76% a.a.;15/10/2024;modalmais;Agibank;24;6129
34;6129;11150;Agibank 111.5% CDI por Nova Futura Investimentos;FGC;CDB;10.76% a.a.;15/10/2024;Nova Futura Investimentos;Agibank;24;6129
35;6123;11050;Agibank 110.5% CDI por Guide Investimentos;FGC;CDB;10.66% a.a.;17/10/2024;Guide Investimentos;Agibank;24;6123
36;5932;9300;Agibank 93% CDI por Guide Investimentos;FGC;CDB;8.96% a.a.;15/10/2024;Guide Investimentos;Agibank;24;5932
37;5928;9400;Agibank 94% CDI por Nova Futura Investimentos;FGC;CDB;9.05% a.a.;06/10/2024;Nova Futura Investimentos;Agibank;24;5928
38;8562;11650;Agibank 116.5% CDI por Nova Futura Investimentos;FGC;CDB;11.39% a.a.;15/10/2027;Nova Futura Investimentos;Agibank;60;8562
39;5.225;96.00;Agibank 96% CDI por Órama;FGC;CDB;9.31% a.a.;17/04/2023;Órama;Agibank;6;5225
40;5.223;95.00;Agibank 95% CDI por Ágora Investimentos;FGC;CDB;9.21% a.a.;17/04/2023;Ágora Investimentos;Agibank;6;5223
41;5.221;94.00;Agibank 94% CDI por Nova Futura Investimentos;FGC;CDB;9.11% a.a.;17/04/2023;Nova Futura Investimentos;Agibank;6;5221
42;5.218;93.00;Agibank 93% CDI por Guide Investimentos;FGC;CDB;9.02% a.a.;17/04/2023;Guide Investimentos;Agibank;6;5218
43;5.499;102.00;Alfa 102% CDI por Guide Investimentos;FGC;CDB;10.02% a.a.;17/10/2023;Guide Investimentos;Alfa;12;5499
44;6037;10250;Alfa 102.5% CDI por Guide Investimentos;FGC;CDB;9.88% a.a.;17/10/2024;Guide Investimentos;Alfa;24;6037
45;5.282;11.70;Alfa Prefixado 11.7% por BTG Pactual;FGC;LCA;11.70% a.a.;17/04/2023;BTG Pactual;Alfa;6;5282
46;5.282;11.60;Alfa Prefixado 11.6% por Guide Investimentos;FGC;LCA;11.60% a.a.;18/04/2023;Guide Investimentos;Alfa;6;5282
47;5.270;14.11;Alfa Prefixado 14.11% por BTG Pactual;FGC;CDB;11.21% a.a.;17/04/2023;BTG Pactual;Alfa;6;5270
48;5.268;89.00;Alfa 89% CDI por Guide Investimentos;FGC;LCA;10.85% a.a.;20/04/2023;Guide Investimentos;Alfa;6;5268
49;5.262;89.00;Alfa 89% CDI por BTG Pactual;FGC;LCA;10.85% a.a.;17/04/2023;BTG Pactual;Alfa;6;5262
50;5.257;88.00;Alfa 88% CDI por Guide Investimentos;FGC;LCA;10.73% a.a.;16/04/2023;Guide Investimentos;Alfa;6;5257
51;5.240;102.50;Alfa 102.5% CDI por BTG Pactual;FGC;CDB;9.93% a.a.;17/04/2023;BTG Pactual;Alfa;6;5240
52;5.240;101.50;Alfa 101.5% CDI por Guide Investimentos;FGC;CDB;9.84% a.a.;18/04/2023;Guide Investimentos;Alfa;6;5240
53;5.517;107.00;Arbi 107% CDI por modalmais;FGC;CDB;10.51% a.a.;12/10/2023;modalmais;Arbi;12;5517
54;6095;11000;Arbi 110% CDI por modalmais;FGC;CDB;10.61% a.a.;06/10/2024;modalmais;Arbi;24;6095
55;5.289;12.03;Banco de Brasília Prefixado 12.03% por BTG Pactual;FGC;LCA;12.03% a.a.;17/04/2023;BTG Pactual;Banco de Brasília;6;5289
56;5.281;11.38;Banco de Brasília Prefixado 11.38% por Guide Investimentos;FGC;LCI;11.38% a.a.;20/04/2023;Guide Investimentos;Banco de Brasília;6;5281
57;5.276;11.48;Banco de Brasília Prefixado 11.48% por Nu invest;FGC;LCI;11.48% a.a.;17/04/2023;Nu invest;Banco de Brasília;6;5276
58;5.521;106.00;Banco Industrial do Brasil 106% CDI por Ágora Investimentos;FGC;CDB;10.42% a.a.;18/10/2023;Ágora Investimentos;Banco Industrial do Brasil;12;5521
59;5.516;106.00;Banco Industrial do Brasil 106% CDI por modalmais;FGC;CDB;10.41% a.a.;16/10/2023;modalmais;Banco Industrial do Brasil;12;5516
60;5.511;105.00;Banco Industrial do Brasil 105% CDI por Guide Investimentos;FGC;CDB;10.32% a.a.;16/10/2023;Guide Investimentos;Banco Industrial do Brasil;12;5511
61;6098;10800;Banco Industrial do Brasil 108% CDI por  gora Investimentos;FGC;CDB;10.42% a.a.;18/10/2024; gora Investimentos;Banco Industrial do Brasil;24;6098
62;6091;10800;Banco Industrial do Brasil 108% CDI por modalmais;FGC;CDB;10.42% a.a.;15/10/2024;modalmais;Banco Industrial do Brasil;24;6091
63;6090;10700;Banco Industrial do Brasil 107% CDI por Guide Investimentos;FGC;CDB;10.32% a.a.;21/10/2024;Guide Investimentos;Banco Industrial do Brasil;24;6090
64;8278;10900;Banco Industrial do Brasil 109% CDI por  gora Investimentos;FGC;CDB;10.64% a.a.;17/10/2027; gora Investimentos;Banco Industrial do Brasil;60;8278
65;8278;10900;Banco Industrial do Brasil 109% CDI por modalmais;FGC;CDB;10.64% a.a.;15/10/2027;modalmais;Banco Industrial do Brasil;60;8278
66;5.234;100.00;Banco Industrial do Brasil 100% CDI por BTG Pactual;FGC;CDB;9.69% a.a.;17/04/2023;BTG Pactual;Banco Industrial do Brasil;6;5234
67;5.234;100.00;Banco Industrial do Brasil 100% CDI por Ágora Investimentos;FGC;CDB;9.69% a.a.;17/04/2023;Ágora Investimentos;Banco Industrial do Brasil;6;5234
68;5.234;99.00;Banco Industrial do Brasil 99% CDI por Guide Investimentos;FGC;CDB;9.60% a.a.;18/04/2023;Guide Investimentos;Banco Industrial do Brasil;6;5234
69;5.233;100.00;Banco Industrial do Brasil 100% CDI por modalmais;FGC;CDB;9.69% a.a.;16/04/2023;modalmais;Banco Industrial do Brasil;6;5233
70;5.568;97.00;Banco Inter 97% CDI por Banco Inter;FGC;LCI;11.55% a.a.;11/10/2023;Banco Inter;Banco Inter;12;5568
71;5.512;106.00;Banco Inter 106% CDI por Banco Inter;FGC;CDB;10.41% a.a.;12/10/2023;Banco Inter;Banco Inter;12;5512
72;5.487;100.00;Banco Inter 100% CDI por Banco Inter;FGC;CDB;9.82% a.a.;16/10/2023;Banco Inter;Banco Inter;12;5487
73;6165;10000;Banco Inter 100% CDI por Banco Inter;FGC;LCI;11.26% a.a.;05/10/2024;Banco Inter;Banco Inter;24;6165
74;6074;10800;Banco Inter 108% CDI por Banco Inter;FGC;CDB;10.41% a.a.;06/10/2024;Banco Inter;Banco Inter;24;6074
75;5990;10000;Banco Inter 100% CDI por Banco Inter;FGC;CDB;9.64% a.a.;06/10/2024;Banco Inter;Banco Inter;24;5990
76;5.242;12.58;Banco Inter Prefixado 12.58% por BTG Pactual;FGC;CDB;10.00% a.a.;17/04/2023;BTG Pactual;Banco Inter;6;5242
77;5.237;102.00;Banco Inter 102% CDI por Banco Inter;FGC;CDB;9.89% a.a.;16/04/2023;Banco Inter;Banco Inter;6;5237
78;5.234;100.00;Banco Inter 100% CDI por Banco Inter;FGC;CDB;9.69% a.a.;17/04/2023;Banco Inter;Banco Inter;6;5234
79;5.225;96.00;Banco Inter 96% CDI por BTG Pactual;FGC;CDB;9.31% a.a.;17/04/2023;BTG Pactual;Banco Inter;6;5225
80;5.588;14.38;Banco Master IPCA + 8.21% por Nu invest;FGC;CDB;11.86% a.a.;16/10/2023;Nu invest;Banco Master;12;5588
81;5.533;110.00;Banco Master 110% CDI por Nu invest;FGC;CDB;10.81% a.a.;13/10/2023;Nu invest;Banco Master;12;5533
82;5.518;106.00;Banco Master 106% CDI por Guide Investimentos;FGC;CDB;10.42% a.a.;17/10/2023;Guide Investimentos;Banco Master;12;5518
83;5.487;100.00;Banco Master 100% CDI por Órama;FGC;CDB;9.82% a.a.;16/10/2023;Órama;Banco Master;12;5487
84;5.487;100.00;Banco Master 100% CDI por Nu invest;FGC;CDB;9.82% a.a.;16/10/2023;Nu invest;Banco Master;12;5487
85;5.467;96.00;Banco Master 96% CDI por Guide Investimentos;FGC;CDB;9.43% a.a.;16/10/2023;Guide Investimentos;Banco Master;12;5467
86;6259;1382;Banco Master IPCA + 7.68% por Nu invest;FGC;CDB;11.86% a.a.;19/10/2024;Nu invest;Banco Master;24;6259
87;6254;12500;Banco Master 125% CDI por Nu invest;FGC;CDB;12.07% a.a.;06/10/2024;Nu invest;Banco Master;24;6254
88;6206;1357;Banco Master Prefixado 13.57% por Nu invest;FGC;CDB;11.63% a.a.;06/10/2024;Nu invest;Banco Master;24;6206
89;6185;11600;Banco Master 116% CDI por Guide Investimentos;FGC;CDB;11.20% a.a.;19/10/2024;Guide Investimentos;Banco Master;24;6185
90;5999;10000;Banco Master 100% CDI por  rama;FGC;CDB;9.64% a.a.;10/10/2024; rama;Banco Master;24;5999
91;5990;10000;Banco Master 100% CDI por Nu invest;FGC;CDB;9.64% a.a.;06/10/2024;Nu invest;Banco Master;24;5990
92;5970;9600;Banco Master 96% CDI por Guide Investimentos;FGC;CDB;9.25% a.a.;19/10/2024;Guide Investimentos;Banco Master;24;5970
93;8874;12450;Banco Master 124.5% CDI por XP Investimentos;FGC;CDB;12.20% a.a.;15/10/2027;XP Investimentos;Banco Master;60;8874
94;8605;1311;Banco Master IPCA + 7.01% por Nu invest;FGC;CDB;11.50% a.a.;16/10/2027;Nu invest;Banco Master;60;8605
95;8562;11600;Banco Master 116% CDI por Guide Investimentos;FGC;CDB;11.34% a.a.;22/10/2027;Guide Investimentos;Banco Master;60;8562
96;5.266;14.00;Banco Master Prefixado 14% por Nu invest;FGC;CDB;11.12% a.a.;16/04/2023;Nu invest;Banco Master;6;5266
97;5.263;13.60;Banco Master Prefixado 13.6% por Guide Investimentos;FGC;CDB;10.81% a.a.;18/04/2023;Guide Investimentos;Banco Master;6;5263
98;5.250;106.00;Banco Master 106% CDI por Guide Investimentos;FGC;CDB;10.27% a.a.;18/04/2023;Guide Investimentos;Banco Master;6;5250
99;5.245;101.38;Banco Master CDI + 0.15% por Órama;FGC;CDB;9.83% a.a.;24/04/2023;Órama;Banco Master;6;5245
100;5.244;105.00;Banco Master 105% CDI por Nu invest;FGC;CDB;10.18% a.a.;16/04/2023;Nu invest;Banco Master;6;5244
101;5.234;100.00;Banco Master 100% CDI por Órama;FGC;CDB;9.69% a.a.;17/04/2023;Órama;Banco Master;6;5234
102;5.234;100.00;Banco Master 100% CDI por Nu invest;FGC;CDB;9.69% a.a.;17/04/2023;Nu invest;Banco Master;6;5234
103;5.225;96.00;Banco Master 96% CDI por Guide Investimentos;FGC;CDB;9.31% a.a.;17/04/2023;Guide Investimentos;Banco Master;6;5225
104;6010;8600;Bancoob 86% CDI por XP Investimentos;FGC;LCA;9.68% a.a.;15/10/2024;XP Investimentos;Bancoob;24;6010
105;5.578;98.00;Bari 98% CDI por Bari;FGC;LCI;11.67% a.a.;16/10/2023;Bari;Bari;12;5578
106;5.560;115.00;Bari 115% CDI por Bari;FGC;CDB;11.30% a.a.;16/10/2023;Bari;Bari;12;5560
107;5.536;110.00;Bari 110% CDI por Bari;FGC;CDB;10.81% a.a.;16/10/2023;Bari;Bari;12;5536
108;5.511;105.00;Bari 105% CDI por Bari;FGC;CDB;10.32% a.a.;16/10/2023;Bari;Bari;12;5511
109;6220;12000;Bari 120% CDI por Bari;FGC;CDB;11.58% a.a.;15/10/2024;Bari;Bari;24;6220
110;6184;10000;Bari 100% CDI por Bari;FGC;LCI;11.26% a.a.;15/10/2024;Bari;Bari;24;6184
111;6113;11000;Bari 110% CDI por Bari;FGC;CDB;10.61% a.a.;15/10/2024;Bari;Bari;24;6113
112;6059;10500;Bari 105% CDI por Bari;FGC;CDB;10.12% a.a.;15/10/2024;Bari;Bari;24;6059
113;5.277;95.00;Bari 95% CDI por Bari;FGC;LCI;11.58% a.a.;15/04/2023;Bari;Bari;6;5277
114;5.257;110.00;Bari 110% CDI por Bari;FGC;CDB;10.66% a.a.;17/04/2023;Bari;Bari;6;5257
115;5.246;105.00;Bari 105% CDI por Bari;FGC;CDB;10.18% a.a.;17/04/2023;Bari;Bari;6;5246
116;5.303;11.70;BDMG Prefixado 11.7% por Nu invest;FGC;LCA;11.70% a.a.;02/05/2023;Nu invest;BDMG;6;5303
117;5.530;13.08;BMG Prefixado 13.08% por Nova Futura Investimentos;FGC;CDB;10.78% a.a.;12/10/2023;Nova Futura Investimentos;BMG;12;5530
118;5.522;12.88;BMG Prefixado 12.88% por modalmais;FGC;CDB;10.62% a.a.;12/10/2023;modalmais;BMG;12;5522
119;5.518;106.00;BMG 106% CDI por Guide Investimentos;FGC;CDB;10.42% a.a.;17/10/2023;Guide Investimentos;BMG;12;5518
120;5.517;107.00;BMG 107% CDI por Nu invest;FGC;CDB;10.51% a.a.;12/10/2023;Nu invest;BMG;12;5517
121;5.517;107.00;BMG 107% CDI por modalmais;FGC;CDB;10.51% a.a.;12/10/2023;modalmais;BMG;12;5517
122;5.517;107.00;BMG 107% CDI por Nova Futura Investimentos;FGC;CDB;10.51% a.a.;12/10/2023;Nova Futura Investimentos;BMG;12;5517
123;5.510;105.63;BMG CDI + 0.6% por Nova Futura Investimentos;FGC;CDB;10.38% a.a.;12/10/2023;Nova Futura Investimentos;BMG;12;5510
124;6265;1400;BMG IPCA + 7.85% por  rama;FGC;CDB;12.01% a.a.;14/10/2024; rama;BMG;24;6265
125;6244;1367;BMG IPCA + 7.54% por Nova Futura Investimentos;FGC;CDB;11.73% a.a.;20/10/2024;Nova Futura Investimentos;BMG;24;6244
126;6211;1362;BMG Prefixado 13.62% por Nova Futura Investimentos;FGC;CDB;11.67% a.a.;06/10/2024;Nova Futura Investimentos;BMG;24;6211
127;6192;1342;BMG Prefixado 13.42% por modalmais;FGC;CDB;11.50% a.a.;06/10/2024;modalmais;BMG;24;6192
128;6107;10900;BMG 109% CDI por Guide Investimentos;FGC;CDB;10.51% a.a.;17/10/2024;Guide Investimentos;BMG;24;6107
129;6095;11000;BMG 110% CDI por Nova Futura Investimentos;FGC;CDB;10.61% a.a.;06/10/2024;Nova Futura Investimentos;BMG;24;6095
130;6095;11000;BMG 110% CDI por modalmais;FGC;CDB;10.61% a.a.;06/10/2024;modalmais;BMG;24;6095
131;6045;10523;BMG CDI + 0.53% por Nova Futura Investimentos;FGC;CDB;10.15% a.a.;06/10/2024;Nova Futura Investimentos;BMG;24;6045
132;8442;1260;BMG IPCA + 6.53% por Nova Futura Investimentos;FGC;CDB;11.05% a.a.;20/10/2027;Nova Futura Investimentos;BMG;60;8442
133;8363;11100;BMG 111% CDI por Guide Investimentos;FGC;CDB;10.84% a.a.;20/10/2027;Guide Investimentos;BMG;60;8363
134;5.292;14.17;BMG IPCA + 8.1% por Nu invest;FGC;CDB;11.26% a.a.;02/05/2023;Nu invest;BMG;6;5292
135;5.268;13.54;BMG Prefixado 13.54% por Órama;FGC;CDB;10.76% a.a.;24/04/2023;Órama;BMG;6;5268
136;5.259;13.52;BMG Prefixado 13.52% por Ágora Investimentos;FGC;CDB;10.74% a.a.;17/04/2023;Ágora Investimentos;BMG;6;5259
137;5.258;13.44;BMG Prefixado 13.44% por BTG Pactual;FGC;CDB;10.68% a.a.;17/04/2023;BTG Pactual;BMG;6;5258
138;5.257;13.29;BMG Prefixado 13.29% por Guide Investimentos;FGC;CDB;10.56% a.a.;18/04/2023;Guide Investimentos;BMG;6;5257
139;5.255;13.39;BMG Prefixado 13.39% por Nova Futura Investimentos;FGC;CDB;10.64% a.a.;16/04/2023;Nova Futura Investimentos;BMG;6;5255
140;5.252;104.04;BMG CDI + 0.44% por Órama;FGC;CDB;10.09% a.a.;24/04/2023;Órama;BMG;6;5252
141;5.251;13.19;BMG Prefixado 13.19% por modalmais;FGC;CDB;10.48% a.a.;16/04/2023;modalmais;BMG;6;5251
142;5.245;105.61;BMG CDI + 0.61% por Nova Futura Investimentos;FGC;CDB;10.23% a.a.;16/04/2023;Nova Futura Investimentos;BMG;6;5245
143;5.241;103.00;BMG 103% CDI por Ágora Investimentos;FGC;CDB;9.98% a.a.;17/04/2023;Ágora Investimentos;BMG;6;5241
144;5.241;103.00;BMG 103% CDI por BTG Pactual;FGC;CDB;9.98% a.a.;17/04/2023;BTG Pactual;BMG;6;5241
145;5.239;101.00;BMG 101% CDI por Guide Investimentos;FGC;CDB;9.79% a.a.;18/04/2023;Guide Investimentos;BMG;6;5239
146;5.237;102.00;BMG 102% CDI por Nova Futura Investimentos;FGC;CDB;9.89% a.a.;16/04/2023;Nova Futura Investimentos;BMG;6;5237
147;5.237;102.00;BMG 102% CDI por modalmais;FGC;CDB;9.89% a.a.;16/04/2023;modalmais;BMG;6;5237
148;5.548;13.41;BR Partners Prefixado 13.41% por modalmais;FGC;CDB;11.06% a.a.;16/10/2023;modalmais;BR Partners;12;5548
149;5.506;104.00;BR Partners 104% CDI por modalmais;FGC;CDB;10.22% a.a.;16/10/2023;modalmais;BR Partners;12;5506
150;5.504;103.00;BR Partners 103% CDI por Guide Investimentos;FGC;CDB;10.12% a.a.;17/10/2023;Guide Investimentos;BR Partners;12;5504
151;5.492;12.04;BR Partners IPCA + 6% por modalmais;FGC;CDB;9.93% a.a.;16/10/2023;modalmais;BR Partners;12;5492
